CheckedEST,Link,Date,C_Alcona,C_Alger,C_Allegan,C_Alpena,C_Antrim,C_Arenac,C_Baraga,C_Barry,C_Bay,C_Benzie,C_Berrien,C_Branch,C_Calhoun,C_Cass,C_Charlevoix,C_Cheboygan,C_Chippewa,C_Clare,C_Clinton,C_Crawford,C_Delta,C_Dickinson,C_Eaton,C_Emmet,C_Genesee,C_Gladwin,C_Gogebic,C_GrandTraverse,C_Gratiot,C_Hillsdale,C_Houghton,C_Huron,C_Ingham,C_Ionia,C_Iosco,C_Iron,C_Isabella,C_Jackson,C_Kalamazoo,C_Kalkaska,C_Kent,C_Keweenaw,C_Lake,C_Lapeer,C_Leelanau,C_Lenawee,C_Livingston,C_Luce,C_Mackinac,C_Macomb,C_Manistee,C_Marquette,C_Mason,C_Mecosta,C_Menominee,C_Midland,C_Missaukee,C_Monroe,C_Montcalm,C_Montmorency,C_Muskegon,C_Newaygo,C_Oakland,C_Oceana,C_Ogemaw,C_Ontonagon,C_Osceola,C_Oscoda,C_Otsego,C_Ottawa,C_PresqueIsle,C_Roscommon,C_Saginaw,C_Sanilac,C_Schoolcraft,C_Shiawassee,C_StClair,C_StJoseph,C_Tuscola,C_VanBuren,C_Washtenaw,C_Wayne,C_Wexford,C_MDOC,C_FCI,C_OutState,C_NR,C_TOTAL,C_Detroit,C_Probable,C_Notes,C_Male,C_Female,C_SexNR,C_0_19,C_20_29,C_30_39,C_40_49,C_50_59,C_60_69,C_70_79,C_80_plus,C_AgeNR,C_Native,C_Asian,C_Black,C_White,C_Many,C_Other,C_RaceNR,C_Hispanic,C_NonHispanic,C_HispanicNR,C_Arab,C_NonArab,C_ArabNR
2020-05-04 21:01,"https://web.archive.org/web/20200505010059/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-04,4,,116,83,10,28,1,37,161,4,304,66,244,33,13,19,2,11,119,56,13,3,137,21,1647,14,5,20,25,131,2,24,506,90,52,,61,363,480,17,1854,,2,171,9,110,356,1,6,5736,11,50,12,14,6,62,16,320,45,5,313,28,7499,19,15,,8,5,93,281,11,18,728,36,3,185,339,42,113,67,1118,17314,9,1870,95,22,11,43950,9394,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
*Please note: These counts are representative of data in the Michigan Disease Surveillance System as of 4 p.m. on May 4, 2020. However, as the data backlog is still processing from a software issue, today’s numbers are not representative of the full data set since the May 3 report. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,10%,13%,16%,19%,17%,12%,11%,<1%,<1%,2%,32%,34%,7%,4%,2%,4%,60%,36%,2%,30%,68%
2020-05-05 17:22,"https://web.archive.org/web/20200505212222/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-05,4,,120,85,10,27,1,39,162,4,315,70,246,34,13,19,2,11,120,56,14,3,138,21,1668,14,4,20,26,137,2,25,518,93,52,,61,367,489,17,1914,,2,173,9,110,362,1,6,5789,11,49,13,14,6,62,16,327,46,5,318,31,7522,21,15,,8,5,94,295,11,18,742,36,3,189,342,43,117,69,1123,17391,9,1898,98,64,13,44397,9424,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,10%,13%,16%,19%,17%,12%,11%,<1%,<1%,2%,32%,34%,7%,5%,20%,4%,60%,36%,2%,30%,68%
2020-05-06 19:36,"https://web.archive.org/web/20200506233655/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-06,4,,124,86,10,27,1,39,176,4,344,72,250,35,14,19,2,12,123,56,14,4,141,21,1710,15,4,20,26,138,2,28,539,98,53,,61,373,539,17,2016,,2,174,9,114,366,1,6,5832,11,51,14,15,6,63,16,354,46,5,335,32,7573,22,15,,8,5,95,313,11,18,760,38,3,196,342,44,118,68,1129,17571,9,1936,104,6,1,45054,9536,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,10%,13%,16%,19%,17%,12%,11%,<1%,<1%,2%,32%,34%,7%,5%,20%,5%,61%,34%,2%,31%,67%
2020-05-07 17:35,"https://web.archive.org/web/20200507213521/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-07,4,,126,86,10,27,1,41,179,4,354,73,252,36,13,19,2,12,126,56,15,4,146,21,1731,15,4,20,27,146,2,31,557,99,54,,61,380,561,17,2076,,2,174,9,121,368,1,6,5876,11,53,15,15,6,63,16,371,46,5,344,34,7624,23,15,,8,5,95,331,12,18,772,38,4,198,342,47,126,73,1140,17667,9,2036,106,3,30,45646,9566,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,10%,13%,16%,18%,17%,12%,11%,<1%,<1%,2%,32%,34%,8%,5%,19%,5%,61%,34%,2%,32%,66%
2020-05-08 20:30,"https://web.archive.org/web/20200509003021/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-08,4,,130,86,10,27,1,44,185,4,376,76,254,39,13,19,2,12,126,56,15,5,152,21,1739,16,4,20,27,151,2,34,563,103,54,,61,381,573,17,2135,,2,174,9,126,374,1,6,5963,11,51,18,16,6,66,16,383,46,5,344,34,7664,24,15,,9,5,95,353,11,20,779,38,4,201,353,51,130,81,1160,17824,10,2124,109,7,71,46326,9648,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,12%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,33%,2%,32%,66%
2020-05-09 19:36,"https://web.archive.org/web/20200509233656/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-09,4,,136,87,10,27,1,49,189,4,384,79,258,41,13,19,2,12,127,57,14,5,150,21,1750,16,4,20,29,151,2,34,575,107,54,,61,389,591,17,2213,,2,175,9,127,375,1,6,6019,11,51,19,16,6,66,16,387,46,5,354,34,7692,25,15,,9,5,97,373,11,20,780,37,4,203,353,65,131,84,1176,17960,10,2136,110,21,12,46756,9709,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,12%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,33%,2%,33%,65%
2020-05-10 20:29,"https://web.archive.org/web/20200511002945/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-10,4,,150,87,10,27,1,48,192,4,391,79,260,41,13,19,2,12,126,57,14,5,150,21,1758,17,4,20,31,152,2,35,579,108,55,,62,393,601,18,2281,,2,176,9,127,376,1,6,6042,11,51,21,16,6,66,16,389,46,5,367,34,7736,28,15,,9,5,97,388,11,20,789,37,4,204,357,65,134,88,1182,18075,11,2138,110,22,17,47138,9786,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,11%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,33%,2%,33%,65%
2020-05-11 21:27,"https://web.archive.org/web/20200512012730/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-11,4,,157,87,10,27,1,51,204,4,403,80,268,42,13,19,2,12,128,57,14,5,151,21,1765,17,4,20,33,153,2,36,586,110,55,,62,400,622,18,2332,,2,177,9,128,376,1,6,6064,11,51,21,16,6,66,16,393,46,5,384,35,7752,30,16,,9,5,98,420,11,20,809,38,4,211,358,65,139,93,1192,18194,11,2139,114,26,10,47552,9851,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,11%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,33%,2%,33%,65%
2020-05-12 16:57,"https://web.archive.org/web/20200512205705/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-12,4,,161,87,10,28,1,52,214,4,411,82,275,43,13,19,2,12,126,57,14,5,152,21,1782,18,4,21,33,152,2,36,594,110,55,,61,401,636,17,2416,,2,175,9,129,377,1,6,6097,11,51,23,16,6,67,16,399,47,5,401,36,7784,34,15,,9,5,98,430,11,20,829,38,4,214,366,71,162,94,1206,18274,11,2144,114,75,8,48021,9897,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,11%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,33%,2%,34%,64%
2020-05-13 22:03,"https://web.archive.org/web/20200514020311/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-13,4,,165,88,10,28,1,54,214,4,425,84,280,44,13,19,2,12,127,57,14,5,155,21,1784,18,4,21,34,152,2,36,605,111,55,,61,405,643,17,2446,,2,175,9,129,378,1,6,6137,11,51,22,16,6,67,16,404,52,5,406,37,7830,38,15,,9,5,98,444,11,20,849,38,4,213,373,76,161,94,1210,18389,11,2145,114,84,10,48391,9973,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,11%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,63%,32%,2%,34%,64%
2020-05-14 17:46,"https://web.archive.org/web/20200514214615/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-14,5,,168,88,10,29,1,58,226,4,470,90,286,46,13,19,2,14,129,57,14,5,161,21,1813,17,4,23,35,155,2,39,619,114,56,,62,411,669,17,2627,,2,176,10,132,380,1,6,6232,11,51,23,17,7,67,16,415,52,5,435,38,7952,44,16,,9,5,98,483,11,20,866,38,4,219,394,79,163,100,1231,18770,11,2171,115,93,35,49582,10164,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,2%,11%,13%,16%,18%,17%,11%,11%,<1%,<1%,2%,32%,35%,8%,5%,18%,5%,62%,32%,2%,34%,64%
2020-05-15 22:36,"https://web.archive.org/web/20200516023605/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-15,6,,173,90,10,29,1,56,228,4,485,92,290,50,13,19,2,14,132,57,14,5,162,21,1835,17,4,23,35,162,2,38,629,116,57,,62,416,679,17,2705,,2,179,10,132,381,1,6,6274,11,51,25,18,8,69,16,417,52,5,452,41,7994,46,16,,9,5,99,501,11,21,877,38,4,222,399,82,166,106,1236,18882,11,2227,115,97,15,50079,10230,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,3%,11%,13%,16%,18%,16%,11%,11%,<1%,<1%,2%,32%,36%,8%,5%,17%,6%,63%,31%,2%,35%,63%
2020-05-16 20:08,"https://web.archive.org/web/20200517000839/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-16,6,,174,91,11,30,1,56,234,4,500,95,295,53,14,19,3,14,132,57,14,5,162,21,1845,17,4,23,42,166,2,41,643,118,58,,62,414,708,17,2766,,3,180,10,134,383,2,6,6304,11,52,25,19,8,70,16,420,53,5,468,41,8023,47,17,,9,5,99,518,11,21,903,38,4,223,408,84,165,110,1241,19016,11,2216,116,88,4,50504,10327,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",46%,53%,1%,3%,11%,13%,16%,18%,16%,11%,11%,<1%,<1%,2%,32%,36%,8%,5%,17%,6%,63%,31%,2%,35%,63%
2020-05-17 22:15,"https://web.archive.org/web/20200518021538/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-17,6,,179,91,11,30,1,56,241,4,522,95,301,59,14,19,2,14,134,57,14,5,163,21,1866,17,5,23,42,166,2,44,648,119,58,,62,415,707,17,2825,,3,180,10,136,385,2,6,6345,11,52,26,18,8,70,16,429,53,5,486,43,8043,50,17,,10,5,99,531,11,21,913,39,4,225,403,86,170,112,1242,19065,11,2538,117,88,3,51142,10348,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,13%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,63%,31%,2%,35%,63%
2020-05-18 19:40,"https://web.archive.org/web/20200518234033/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-18,6,,186,91,11,31,1,57,248,4,528,95,304,60,14,19,2,15,135,57,14,5,165,21,1869,17,5,23,49,167,2,44,649,119,59,,62,415,719,17,2868,,3,180,10,136,386,2,6,6357,11,52,27,18,8,71,16,433,55,5,513,50,8050,54,17,,10,5,99,558,11,21,930,39,4,227,407,87,172,115,1245,19128,11,3051,118,62,2,51915,10368,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,52%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,35%,8%,5%,18%,6%,62%,32%,2%,35%,63%
2020-05-19 19:52,"https://web.archive.org/web/20200519235217/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-19,6,,184,91,11,31,1,58,250,4,538,95,308,61,14,19,2,15,136,57,15,5,165,21,1891,17,5,23,50,165,2,44,650,123,65,,62,418,739,17,2934,,3,180,11,140,385,2,6,6367,11,52,27,19,8,76,16,433,56,5,519,51,8078,58,18,,10,5,99,573,11,21,940,39,4,235,412,90,173,116,1251,19292,11,3122,118,13,2,52350,10417,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,62%,32%,2%,35%,63%
2020-05-20 23:27,"https://web.archive.org/web/20200520172738/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-20,8,,191,91,11,32,1,57,255,4,552,97,320,66,14,21,2,17,136,58,16,5,168,21,1915,17,5,23,56,167,2,41,667,124,71,,65,421,751,18,3036,,3,182,11,140,387,2,6,6392,11,52,28,19,8,76,16,438,60,5,530,63,8117,66,20,,10,6,99,616,11,21,957,39,4,246,419,92,174,116,1261,19432,11,3195,122,21,3,53009,10499,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,62%,32%,2%,35%,63%
2020-05-21 22:38,"https://web.archive.org/web/20200522023813/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-21,9,,195,92,11,32,1,57,260,4,564,98,327,68,14,21,2,16,137,58,17,5,170,21,1926,17,5,23,57,168,2,42,674,129,73,,65,425,762,18,3145,,3,182,11,142,389,2,6,6420,11,52,29,19,8,76,16,442,62,5,552,71,8125,69,20,,10,5,99,632,11,21,968,39,4,249,422,92,178,117,1265,19538,11,3257,125,42,3,53510,10558,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,63%,31%,2%,35%,63%
2020-05-22 22:22,"https://web.archive.org/web/20200523022231/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-22,9,,197,93,11,32,1,57,269,4,571,99,334,73,14,21,2,17,136,58,17,5,173,21,1929,17,5,23,63,168,2,42,682,135,76,,67,430,778,18,3231,,5,183,11,144,390,3,6,6445,11,52,31,19,8,79,16,455,63,5,561,75,8131,73,20,,10,5,100,657,11,21,973,39,4,247,426,96,177,120,1275,19602,11,3275,125,48,25,53913,10587,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,63%,31%,2%,36%,62%
2020-05-23 20:01,"https://web.archive.org/web/20200524000149/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-23,10,,202,94,11,32,1,59,276,4,584,100,339,76,14,21,2,17,137,58,17,5,175,21,1936,17,5,23,67,168,2,42,695,141,77,,70,432,793,19,3308,,5,187,11,145,390,3,6,6482,11,53,31,19,8,79,16,461,66,5,583,79,8192,74,20,,10,5,100,673,11,21,982,39,4,238,429,100,183,121,1282,19697,11,3289,129,61,4,54365,10646,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,36%,8%,5%,18%,6%,63%,31%,2%,36%,62%
2020-05-24 22:53,"https://web.archive.org/web/20200525025358/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-24,11,,210,95,11,32,1,60,282,4,587,101,341,77,14,21,2,17,138,58,17,5,176,21,1948,18,5,23,69,168,2,42,696,143,77,,74,436,797,19,3359,,5,190,11,146,391,3,6,6499,11,54,31,19,8,79,16,461,65,5,590,89,8215,82,20,,10,5,100,696,11,21,989,40,4,235,430,101,185,121,1294,19771,11,3303,132,63,4,54679,10699,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,37%,8%,5%,17%,6%,63%,31%,2%,36%,62%
2020-05-26 10:07,"https://web.archive.org/web/20200526140757/https:/www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html#",2020-05-25,11,,210,95,11,33,1,61,286,4,593,102,347,77,15,21,2,17,138,58,17,5,178,21,1961,18,5,23,71,170,2,42,701,143,82,,74,438,801,19,3385,,6,188,11,146,391,3,6,6516,11,54,31,19,8,79,16,463,65,5,603,91,8226,84,20,,10,5,100,709,11,21,997,40,4,235,431,102,185,123,1298,19816,11,3303,132,65,3,54881,10727,,"This information is updated daily at 3 p.m., with COVID-19 results included as of 10 a.m. 
Note on cumulative counts: This report is provisional and subject to change.  As public health investigations of individual cases  continue, there will be corrections to the status and details of referred cases that result in changes to this report.City of Detroit and Wayne County are reported separately. 
*Michigan Department of Corrections 
**Federal Correctional Institute 
Note on jurisdictional classification: In order to provide more accurate data, the “Other” jurisdiction category will no longer be used. Michigan Department of Corrections cases will be listed under “MDOC”. Federal Correctional Institution cases will be listed under “FCI”.",47%,53%,<1%,3%,11%,14%,16%,18%,16%,11%,11%,<1%,<1%,2%,31%,37%,8%,5%,17%,6%,63%,31%,2%,36%,62%
